INFO   | jvm 1    | 2015/08/14 12:20:39 | Duration of executing thread PollingOrSync in MilliSeconds : 46
INFO   | jvm 1    | 2015/08/14 12:21:09 | Duration of exectuing proxyview of PointsToPoll : 266
INFO   | jvm 1    | 2015/08/14 12:21:09 | Duration of executing method getPointsToPoll in MilliSeconds : 266
INFO   | jvm 1    | 2015/08/14 12:21:09 | Duration of executing method doPolling in MilliSeconds : 422
INFO   | jvm 1    | 2015/08/14 12:21:09 | Duration of executing thread PollingOrSync in MilliSeconds : 422
INFO   | jvm 1    | 2015/08/14 12:21:09 | Updated MeasurementPoints count : 100
INFO   | jvm 1    | 2015/08/14 12:21:12 | Duration of updating measurementpoints in MilliSeconds : 2310
INFO   | jvm 1    | 2015/08/14 12:21:39 | Duration of exectuing proxyview of PointsToPoll : 47
INFO   | jvm 1    | 2015/08/14 12:21:39 | Duration of executing method getPointsToPoll in MilliSeconds : 47
INFO   | jvm 1    | 2015/08/14 12:21:39 | Duration of executing method doPolling in MilliSeconds : 109
INFO   | jvm 1    | 2015/08/14 12:21:39 | Duration of executing thread PollingOrSync in MilliSeconds : 109
INFO   | jvm 1    | 2015/08/14 12:21:39 | Updated MeasurementPoints count : 100
INFO   | jvm 1    | 2015/08/14 12:21:40 | Duration of updating measurementpoints in MilliSeconds : 638
INFO   | jvm 1    | 2015/08/14 12:22:09 | Duration of exectuing proxyview of PointsToPoll : 62
INFO   | jvm 1    | 2015/08/14 12:22:09 | Duration of executing method getPointsToPoll in MilliSeconds : 62
INFO   | jvm 1    | 2015/08/14 12:22:09 | Duration of executing method doPolling in MilliSeconds : 125
INFO   | jvm 1    | 2015/08/14 12:22:09 | Duration of executing thread PollingOrSync in MilliSeconds : 125
INFO   | jvm 1    | 2015/08/14 12:22:09 | Updated MeasurementPoints count : 100
INFO   | jvm 1    | 2015/08/14 12:22:11 | Duration of updating measurementpoints in MilliSeconds : 1622
INFO   | jvm 1    | 2015/08/14 12:22:39 | Duration of exectuing proxyview of PointsToPoll : 46
INFO   | jvm 1    | 2015/08/14 12:22:39 | Duration of executing method getPointsToPoll in MilliSeconds : 46
INFO   | jvm 1    | 2015/08/14 12:22:39 | Duration of executing method doPolling in MilliSeconds : 78
